Address,Name,Status,Category,Source File
0x80008630,__osPiRawStartDma,Not Started,libultra_os,
0x800086F0,osWritebackDCache,Decompiled,libultra_os,src/libultra/os_cache.c
0x8000870C,osWritebackDCacheAll,Not Started,libultra_os,
0x80008730,sinf,Decompiled,libm,src/libm/math.c
0x800088F0,cosf,Decompiled,libm,src/libm/math.c
0x80008A60,guOrthoF,Decompiled,libultra_gu,src/libultra/gu.c
0x80008BB4,guOrtho,Decompiled,libultra_gu,src/libultra/gu.c
0x80008C20,guPerspectiveF,Decompiled,libultra_gu,src/libultra/gu.c
0x80008E50,guPerspective,Decompiled,libultra_gu,src/libultra/gu.c
0x80008EB0,guLookAtF,Decompiled,libultra_gu,src/libultra/gu.c
0x80009168,guLookAt,Decompiled,libultra_gu,src/libultra/gu.c
0x800091E0,guMtxF2L,Decompiled,libultra_gu,src/game/matrix.c
0x800092E0,guMtxL2F,Decompiled,libultra_gu,src/game/matrix.c
0x80009394,guMtxIdentF,Decompiled,libultra_gu,src/game/matrix.c
0x8000941C,guMtxIdent,Decompiled,libultra_gu,src/game/matrix.c
0x80009450,__osContBuildPacket,Not Started,libultra_os,
0x800095AC,__osContGetStatus,Not Started,libultra_os,
0x80009658,__osContRamReset,Decompiled,libultra_os,src/libultra/os_cont.c
0x80009730,osContStartQuery,Decompiled,libultra_os,src/libultra/os_cont.c
0x800097AC,osContGetQuery,Decompiled,libultra_os,src/libultra/os_cont.c
0x800097D0,osContStartReadData2,Decompiled,libultra_os,src/libultra/os_cont.c
0x80009854,osContGetReadData,Decompiled,libultra_os,src/libultra/os_cont.c
0x800098E0,__osPackReadData,Not Started,libultra_os,
0x800099B0,osDpGetCounters,Decompiled,libultra_os,src/libultra/os_dp.c
0x800099F0,__fixdfdi,Not Started,libgcc,
0x80009A0C,__fixsfdi,Not Started,libgcc,
0x80009A28,__fixunsdfdi,Not Started,libgcc,
0x80009AC8,__fixunssfdi,Not Started,libgcc,
0x80009B64,__floatdidf,Not Started,libgcc,
0x80009B7C,__floatdisf,Not Started,libgcc,
0x80009B94,__floatundidf,Not Started,libgcc,
0x80009BC8,__floatundisf,Not Started,libgcc,
0x80009C00,osPhysicalToVirtual,Decompiled,libultra_os,src/libultra/os_misc.c
0x80009C10,osPfsInitPak,Not Started,libultra_os,
0x80009E18,__osTimerInterrupt,Not Started,libultra_os,
0x80009F20,osMotorInit,Not Started,libultra_os,
0x8000A088,__osMotorAccess,Not Started,libultra_os,
0x8000A194,osMotorStart,Not Started,libultra_os,
0x8000A2F0,osMotorStop,Not Started,libultra_os,
0x8000A350,osPfsAllocate,Not Started,libultra_os,
0x8000A520,osPfsDeleteFile,Not Started,libultra_os,
0x8000A700,osPfsRename,Not Started,libultra_os,
0x8000A8D8,osPfsFindFile,Not Started,libultra_os,
0x8000A970,osPfsReadWriteFile,Not Started,libultra_os,
0x8000ACA4,__osPfsDeclearPage,Not Started,libultra_os,
0x8000ADF0,osPfsGetFileStat,Not Started,libultra_os,
0x8000AEC4,osPfsGetFileSize,Not Started,libultra_os,
0x8000B240,osPfsFreeBlocks,Not Started,libultra_os,
0x8000B3E0,osPfsChecker,Not Started,libultra_os,
0x8000B918,__osPfsCheckPages,Not Started,libultra_os,
0x8000BBF0,__osPfsPageCheck,Not Started,libultra_os,
0x8000BD90,osPfsChecker,Not Started,libultra_os,
0x8000BE50,osPfsReAllocate,Not Started,libultra_os,
0x8000BE70,osAiSetNextBuffer,Decompiled,libultra_os,src/libultra/os_ai.c
0x8000BF00,osAiSetFrequency,Decompiled,libultra_os,src/libultra/os_ai.c
0x8000C050,dll_remove,Decompiled,timer_queue,src/os/dll.c
0x8000C090,dll_init,Decompiled,timer_queue,src/os/dll.c
0x8000C11C,dll_update,Decompiled,timer_queue,src/os/dll.c
0x8000C294,dll_reschedule,Decompiled,timer_queue,src/os/dll.c
0x8000C308,dll_insert,Decompiled,timer_queue,src/os/dll.c
0x8000C490,dll_get_priority,Decompiled,timer_queue,src/os/dll.c
0x8000C4B0,__osDisableInt,Decompiled,libultra_os,src/libultra/os_int.c
0x8000C520,__osRestoreInt,Decompiled,libultra_os,src/libultra/os_int.c
0x8000C540,osViInit,Decompiled,libultra_os,src/libultra/os_vi_mgr.c
0x8000C660,osGetActiveQueue,Decompiled,libultra_os,src/libultra/os_misc.c
0x8000C670,__osViSwapContext,Not Started,libultra_os,
0x8000C970,osGetCount,Decompiled,libultra_os,src/libultra/os_misc.c
0x8000C980,__osException,Not Started,libultra_os,
0x8000CEDC,dll_get_data,Not Started,timer_queue,
0x8000CFC4,dll_set_data,Not Started,timer_queue,
0x8000D0C4,__osEnqueueThread,Decompiled,libultra_os,src/libultra/os_queue.c
0x8000D10C,__osPopThread,Not Started,libultra_os,
0x8000D11C,__osDispatchThread,Not Started,libultra_os,
0x8000D2A0,bzero_alt,Not Started,unknown,
0x8000D2B0,bcopy,Decompiled,libc,src/libc/memory.c
0x8000D5C0,osVirtualToPhysical,Decompiled,libultra_os,src/libultra/os_misc.c
0x8000D640,__osSpSetStatus,Decompiled,libultra_os,src/libultra/os_sp.c
0x8000D650,__osSpSetPc,Decompiled,libultra_os,src/libultra/os_sp.c
0x8000D680,__osSpDma,Decompiled,libultra_os,src/libultra/os_sp.c
0x8000D710,__osSpDeviceBusy,Decompiled,libultra_os,src/libultra/os_sp.c
0x8000D740,osDpIsBusy,Decompiled,libultra_os,src/libultra/os_dp.c
0x8000D770,__osSetSR,Decompiled,libultra_os,src/libultra/os_cpu.c
0x8000D780,__osGetSR,Decompiled,libultra_os,src/libultra/os_cpu.c
0x8000D790,__osSetFpcCsr,Decompiled,libultra_os,src/libultra/os_cpu.c
0x8000D7A0,osPiReadIo,Decompiled,libultra_os,src/libultra/os_pi.c
0x8000D7F0,osPiWriteWord,Decompiled,libultra_os,src/libultra/os_pi.c
0x8000D840,__osTlbFlush,Not Started,libultra_os,
0x8000D890,__osTlbInit,Not Started,libultra_os,
0x8000D8F0,__lshrdi3,Not Started,libgcc,
0x8000D91C,__umoddi3,Not Started,libgcc,
0x8000D958,__udivdi3,Not Started,libgcc,
0x8000D994,__ashldi3,Not Started,libgcc,
0x8000D9C0,__osGetTimerValue,Not Started,libultra_os,
0x8000D9FC,__divdi3,Not Started,libgcc,
0x8000DA58,__muldi3,Not Started,libgcc,
