=== OVERNIGHT BATCH JOB ===
Target: 400 functions
Context: 16384 tokens (16K)

Loading disassembly...
Finding all functions...
Found 752 total functions
Checking already processed...
Already processed: 395 functions
Remaining unprocessed: 382 functions
Will process: 382 functions

[89/382] Decompiling 800D1248 (168/hr, ETA: 1.7h)...
[90/382] Decompiling 800D138C (169/hr, ETA: 1.7h)...
[91/382] Decompiling 800D16B0 (169/hr, ETA: 1.7h)...
[92/382] Decompiling 800D18E4 (169/hr, ETA: 1.7h)...
[93/382] Decompiling 800D197C (170/hr, ETA: 1.7h)...
[94/382] Decompiling 800D1AB8 (170/hr, ETA: 1.7h)...
[95/382] Decompiling 800D1CE0 (170/hr, ETA: 1.7h)...
[96/382] Decompiling 800D2488 (170/hr, ETA: 1.7h)...
[97/382] Decompiling 800D24C8 (171/hr, ETA: 1.7h)...
[98/382] Decompiling 800D2928 (172/hr, ETA: 1.7h)...
[99/382] Decompiling 800D2A74 (173/hr, ETA: 1.6h)...
[100/382] Decompiling 800D2C2C (172/hr, ETA: 1.6h)...
  Progress saved (100/382)
[101/382] Decompiling 800D2CDC (172/hr, ETA: 1.6h)...
[102/382] Decompiling 800D2DCC (173/hr, ETA: 1.6h)...
[103/382] Decompiling 800D2E94 (174/hr, ETA: 1.6h)...
[104/382] Decompiling 800D2FA8 (175/hr, ETA: 1.6h)...
[105/382] Decompiling 800D3430 (176/hr, ETA: 1.6h)...
[106/382] Decompiling 800D349C (176/hr, ETA: 1.6h)...
[107/382] Decompiling 800D3B28 (170/hr, ETA: 1.6h)...
[108/382] Decompiling 800D4DFC (170/hr, ETA: 1.6h)...
[109/382] Decompiling 800D4EF4 (171/hr, ETA: 1.6h)...
[110/382] Decompiling 800D5050 (170/hr, ETA: 1.6h)...
[111/382] Decompiling 800D510C (171/hr, ETA: 1.6h)...
[112/382] Decompiling 800D52D4 (171/hr, ETA: 1.6h)...
[113/382] Decompiling 800D5374 (172/hr, ETA: 1.6h)...
[114/382] Decompiling 800D54E0 (171/hr, ETA: 1.6h)...
[115/382] Decompiling 800D5524 (172/hr, ETA: 1.6h)...
[116/382] Decompiling 800D5798 (173/hr, ETA: 1.5h)...
[117/382] Decompiling 800D5834 (173/hr, ETA: 1.5h)...
[118/382] Decompiling 800D5894 (174/hr, ETA: 1.5h)...
[119/382] Decompiling 800D58CC (174/hr, ETA: 1.5h)...
[120/382] Decompiling 800D5A04 (174/hr, ETA: 1.5h)...
[121/382] Decompiling 800D5BB0 (174/hr, ETA: 1.5h)...
[122/382] Decompiling 800D5C90 (174/hr, ETA: 1.5h)...
[123/382] Decompiling 800D5E64 (174/hr, ETA: 1.5h)...
[124/382] Decompiling 800D60B4 (174/hr, ETA: 1.5h)...
[125/382] Decompiling 800D616C (174/hr, ETA: 1.5h)...
  Progress saved (125/382)
[126/382] Decompiling 800D6290 (175/hr, ETA: 1.5h)...
[127/382] Decompiling 800D62EC (175/hr, ETA: 1.5h)...
[128/382] Decompiling 800D6348 (175/hr, ETA: 1.5h)...
[129/382] Decompiling 800D63C4 (175/hr, ETA: 1.4h)...
[130/382] Decompiling 800D63F4 (175/hr, ETA: 1.4h)...
[131/382] Decompiling 800D6530 (175/hr, ETA: 1.4h)...
[132/382] Decompiling 800D6698 (175/hr, ETA: 1.4h)...
[133/382] Decompiling 800D67C0 (176/hr, ETA: 1.4h)...
[134/382] Decompiling 800D691C (176/hr, ETA: 1.4h)...
[135/382] Decompiling 800D6E00 (176/hr, ETA: 1.4h)...
[136/382] Decompiling 800D6E7C (177/hr, ETA: 1.4h)...
[137/382] Decompiling 800D71D0 (176/hr, ETA: 1.4h)...
[138/382] Decompiling 800D7634 (176/hr, ETA: 1.4h)...
[139/382] Decompiling 800D7D40 (175/hr, ETA: 1.4h)...
[140/382] Decompiling 800D7DC4 (176/hr, ETA: 1.4h)...
[141/382] Decompiling 800D7E88 (177/hr, ETA: 1.4h)...
[142/382] Decompiling 800D8184 (176/hr, ETA: 1.4h)...
[143/382] Decompiling 800D8C58 (177/hr, ETA: 1.4h)...
[144/382] Decompiling 800D9060 (177/hr, ETA: 1.3h)...
[145/382] Decompiling 800D91A0 (178/hr, ETA: 1.3h)...
[146/382] Decompiling 800DA0CC (178/hr, ETA: 1.3h)...
[147/382] Decompiling 800DA174 (178/hr, ETA: 1.3h)...
[148/382] Decompiling 800DA2D0 (178/hr, ETA: 1.3h)...
[149/382] Decompiling 800DABDC (179/hr, ETA: 1.3h)...
[150/382] Decompiling 800DB1E0 (179/hr, ETA: 1.3h)...
  Progress saved (150/382)
[151/382] Decompiling 800DB758 (178/hr, ETA: 1.3h)...
